"userName","score","at","content"
"Renol Koko","1","22/01/2022 19:43","Saya sudah vaksinasi kedua tapi sertifikat vaksinasi tidak keluar apa masalah sama aku"
"setiyanto AZ Zahra Aprilliani","5","22/01/2022 19:37","Lanjutkan kepercayaan"
"Salsa Angelic","1","22/01/2022 19:29","Buat aplikasi kok error sih, udh masuk nik segala macam, sampe gua vaksin apa tgl brp knp gk kluar, alasan captha, oi w manusia tolol"
"bagus haryanto","1","22/01/2022 19:09","Apk kaga jelas, ga bisa liat sertifikat, delete aja"
"Bagus Setiawan","4","22/01/2022 18:48","top"
"Denny Gunadi","5","22/01/2022 18:43","nice"
"Digul Asgiar","5","22/01/2022 18:27","Sangat bagus"
"Ade Takin","5","22/01/2022 18:09","Ok banget"
"Adek Chandra","5","22/01/2022 18:01","Sangat membantu"
"Andi Amirsa","5","22/01/2022 17:49","Namun sertifikat vaksin kedua sya tdk muncul aduhh"
"Andi Nur Asiah","5","22/01/2022 17:47","Sangat membantu"
"Arif Yuda","5","22/01/2022 17:47","Sangat membantu kami"
"Gojek Motor","5","22/01/2022 17:42","Kapan pemberitahuan vaksin ketiga. Katanya lewat pedulindungi, tapi sampai saat ini blom ada pembertahuan via Pedulindungi."
"Andrie Kurniawan","2","22/01/2022 17:32","Trima dan dikasih"
"Buhari 123","1","22/01/2022 17:21","Saya akan rubah jadi bintang 5. Tolong untuk cek sertifikat vaksin cukup masukun NIK saja jadi lebih mudah. Dan tidak bertele2, kadang kita lupa kapan tgl vaksin dan jenis vaksin yg di berikan. Jadi tolong di permudah seperti yg di awal2 dulu. Terimakasih"
"Gebby Veronica","4","22/01/2022 17:16","Baru di download doank"
"Naim Deus","5","22/01/2022 17:14","semoga bermangpaat ni aplikasi"
"Abaskoro Koro","4","22/01/2022 17:07","Vaksin"
"Man Nur","5","22/01/2022 17:05","Nurmansyah"
"Doni akbar Akbar","5","22/01/2022 17:02","Sangat membantu masyarakat"
"Andre irawan","5","22/01/2022 17:00","oke"
"Gadoy Rockmantik","4","22/01/2022 16:59","good"
"yuli setiawan","5","22/01/2022 16:59","Baik sekali"
"Mei 1999","4","22/01/2022 16:55","Sangat setuju,untuk kesehatan manusia seluruhnya,dan masarakat Indonesia"
"Dian Rismayanti","5","22/01/2022 16:51","Good"
"Avrilla Gita","1","22/01/2022 16:49","Lemot bgt sumpah sertifikat g muncul"" tolonglah saya jadi susah beraktivitas ga bisa kemana"" sudah melaporkan masalah berkali"" tapi tetap gada solusi capek bgt??????????"
"Hery Prastyo","5","22/01/2022 16:42","Tolong kalo mau nulis tanggal lahir di permudah, dan sertifikat sayapun belum reales Sampe sekarang"
"Nurdin Entong","5","22/01/2022 16:40","Jos"
"Berman Sihotang","5","22/01/2022 16:40","??"
"NATA 18","1","22/01/2022 16:30","Hasil tes antigen pakai no hp yang sama untuk satu keluarga g bisa masuk .. Masa harus merubah nik masing2 do"
"Cahaya Putri","5","22/01/2022 16:27","Cahaya putri maulana 123"
"Hasrul","1","22/01/2022 16:21","Mohon maaf sudah vaksin 2x tapi yg muncul sertifikatnya cuman vaksin pertama saya sudah menunggu sangat lama tapi masih belum juga muncul sampai saat ini tolong aplikasi nya di perbaiki"
"Intan Indriyani","5","22/01/2022 16:18","Bagus lanjutkan"
"Marseftian Marseftian","1","22/01/2022 16:18","Tolong apknya jangan dibuat susah. ??????"
"Mang Panjul","5","22/01/2022 16:18","Ok"
"Fajar Teguh","4","22/01/2022 16:10","cukup membantu"
"Nur Bilqis","5","22/01/2022 16:10","Oke"
"Mahpuz SE","5","22/01/2022 16:06","Good App"
"Àndri Yonas","5","22/01/2022 16:01","Aplikasi yang oke"
"Osmaurin Nainggolan","5","22/01/2022 16:00","Mantap"
"Dinda Salma","1","22/01/2022 16:00","Aplikasi yg d gembor2in pemerintah kok gak jelas gini?kya gak ada orang pinter,mw masukin tgl lahir ribet stengah mampus,gmn klo yg make orang tua,?MIKIR DONG!!!!!pake otak+kecerdasan,jangan melulu soal duwit"
"Steve Emanuel","5","22/01/2022 16:00","Sangat bagus dan membantu"
"Omi Tea","1","22/01/2022 15:57","Bangke sekali app.. Tanggal lahir ribet ganti.. Susah claim sertifikat.. Kaga habis pikir di haruskan pake"
"mayung piero","5","22/01/2022 15:56","Sangat membantu"
"Taufiq Sobari","5","22/01/2022 15:55","Bagus sekali"
"April Love","1","22/01/2022 15:52","Ribet"
"Gatot Djajasaputra","5","22/01/2022 15:51","App yg bagus dan cepat update datanya"
"Rustam Effendi","4","22/01/2022 15:51","Baik dan bermanfaat"
"Mas Bangun","5","22/01/2022 15:50","Jos"
"Yusuff 31","5","22/01/2022 15:48","Lebih mudah"
"Fajar Nugraha","1","22/01/2022 15:41","Sertifikat tdk kunjung muncul,,di app meskipun no nik dan nama sudah di isi,,tlp 119 pun sibuk terus,,email pun ribet harus isi data lengkap..terima kasih"
"Tasya intan Permatasari","1","22/01/2022 15:38","Kenapa y aku ko g bisa chek in klo mau ke mall atau tempat"" yang tersedia barcodenya"
"Faizan Kamran faizan7777","5","22/01/2022 15:38","Good"
"Mahardika El biwa","5","22/01/2022 15:36","Mantap"
"Choirrum Imam","2","22/01/2022 15:31","Hadeh error', mau kmn ² susah"
"Endang Sutjiati","5","22/01/2022 15:29","Best applications"
"baim alfarizy","1","22/01/2022 15:29","Saya tidak mendapatkan sertifikat vaksin"
"Permata jeli Sitorus","5","22/01/2022 15:29","Mantap"
"Posman Siahaan","4","22/01/2022 15:23","Baik"
"Elite salladahkar","5","22/01/2022 15:21","Kebutuhan hidup"
"Rumiyati Arum","5","22/01/2022 15:21","Bagus"
"Ajid Hidayat","5","22/01/2022 15:18","Apl ok lah .."
"Naumi Aqueena","5","22/01/2022 15:16","Peduli lindungi,??????????????????????????"
"Deni Kurniawan","5","22/01/2022 15:16","Mantap"
"rika indah wulandari","5","22/01/2022 15:15","sgt bermanfaat"
"vrelio kurnia","5","22/01/2022 15:15","Gud"
"Topik Opik","4","22/01/2022 15:14","Kerrren"
"Suwari Suwari","4","22/01/2022 15:13","Sudah update ke versi baru tapi tiket vaksin ketiga tidak muncul , mohon bantuan nya"
"fahar celebestani","5","22/01/2022 15:13","Ok ok ok ok ok"
"Arif Taufik ramdani","5","22/01/2022 15:11","Topmarkotp"
"Arfah Fauziah","2","22/01/2022 15:07","Buruk banget aqu udah vaksin ke 2 sama sekali gak keluar sertifikatnya gimana sih ini"
"Romli Saja","5","22/01/2022 15:05","Bagus banget top deh."
"Subur Wiyono","5","22/01/2022 15:01","Ayo paksi boster yo bos ku"
"Della Della","5","22/01/2022 15:00","Apikasi hebat"
"Sunaryo Sunaryo","5","22/01/2022 15:00","Mudah dimengerti"
"Ainur Jelek","1","22/01/2022 14:56","Udah di ulang "" masukin data malah pusing g keluar "" sertivikat vaksin . . Makin ribet ajha harus ada lewatin gambar "" lagi . Mending muncul bikin paketan q nipis ajha."
"Akun Chipol Asli punya","5","22/01/2022 14:56","??????????"
"Millata Afna","4","22/01/2022 14:55","Mengakses Sertifikat nya lumayan susah untuk muncul di aplikasi"
"Nurochman Nuy","5","22/01/2022 14:52","Loding mulu niih"
"Dafa Kaiza","5","22/01/2022 14:52","Sangat membantu situasi dimana dibutuhkan saat ada pemeriksaan di perjalanan"
"Pratama Chanel","1","22/01/2022 14:51","Gaberguna"
"Amelia Leonyvania","5","22/01/2022 14:51","Sang at bermanfaat"
"SYABAR MARALIH","5","22/01/2022 14:50","Denfan pedulilindungi perjalanan menjadi lancar"
"Abdul Gani","5","22/01/2022 14:49","sangat bermamfaat"
"Amin Mustakim","1","22/01/2022 14:48","Aplikasi mbelgedes, tanggal lahirnya kelamaan , sering eror Mbok ya cara nulis tggl lahir jgn kyak gt. Kelamaan"
"Wondo Suwondo","1","22/01/2022 14:48","Jelek. Tidak bisa cek sertifikat hasil vaksin."
"Boby Kurniawan","5","22/01/2022 14:48","Ok aja"
"Budi Rahman","5","22/01/2022 14:46","Sangat membantu"
"Etim Belehem","5","22/01/2022 14:44","Bagus"
"Tedik kusumawardani","1","22/01/2022 14:39","Repot memasukan tangal lahir"
"Charles Wijaya","5","22/01/2022 14:38","Bagus"
"Adhi Oke","5","22/01/2022 14:34","terima kasih peduliLindungi dari vaksin ke 1 dan ke 2 sudah ada datanya"
"Femmy Singkoh","5","22/01/2022 14:32","Ok"
"Dela Puspitasari","5","22/01/2022 14:32","Bagus"
"Faidal Isma","5","22/01/2022 14:31","Sangat membantu untuk. Perjalanan"
"Any Setyaningsih","5","22/01/2022 14:30","Bagus"
"01_Andrean Dicky","4","22/01/2022 14:29","Jangan takut vaksin karena vaksin dapat membuat tubuh kita menjadi armored titan"
"ismail","4","22/01/2022 14:25","Bagus"
"ricky rikardo","5","22/01/2022 14:23","Mantap"
"achmad achmad","1","22/01/2022 14:18","Bisnis plandemi"
"Rohadi Supriyanto","5","22/01/2022 14:17","Puas"
"Wiidy Dima","1","22/01/2022 14:15","Aplikasi tidak bagus... Sangat jelek dan sangat mempersulit pengguna... Mending tidak usah di donwload.. Buang2 kuota aja..."
"Dewgod","1","22/01/2022 14:15","Sertifikat vaksin tidak muncul di apk"
"Yusnia Nia","2","22/01/2022 14:14","Saya bintang 2 aja dulu."
"marapi singgalang","5","22/01/2022 14:13","sangat bermanfaat"
"Ferry Anto","1","22/01/2022 14:12","Masuk ke tanggal lahir susahnya minta ampun. Bisa gak sih dipermudah"
"Muh. Zuhdy Hamzah","5","22/01/2022 14:10","sangat membantu sebagai akurasi info kesehatan di masa pandemi"
"Robby Chanel","5","22/01/2022 14:06","Bagus"
"tarwin tarwin","5","22/01/2022 14:03","Yang pasti Siap sehat selalu"
"Gogot Priyo","5","22/01/2022 14:03","Bagus"
"Slamet Grabag","5","22/01/2022 14:01","Sangat membantu..."
"Herman16 permadi","4","22/01/2022 14:00","Ok"
"Willysetiawan Setiawan","2","22/01/2022 13:59","Lumayan"
"Hendra Putra pilliang","5","22/01/2022 13:57","Mantap"
"haikal karomy","4","22/01/2022 13:55","Cukup lama menggunakan ini, karena terlalu sering moving"
"Ade Kurnia","5","22/01/2022 13:55","Waktu instal kenapa sering macet di angka sekian persen ya..ga naik²."
"Syaf Khan","5","22/01/2022 13:53","Vaksin 1 Vaksin 2"
"Wayan Jenis","5","22/01/2022 13:51","Bagus"
"Buyunk Oscar","1","22/01/2022 13:50","Aplikasi udaj lelet sering gangguan,saya udah hampir setahun lebih sertifikat saya malah ngak muncul...payah"
"Oni Chan","4","22/01/2022 13:50","??"
"Moza Cantik","4","22/01/2022 13:50","Pengen nangis rasanya ahir nya bisa login lgi pke email baru masukin nik ,,. Pdhal kmren udh panik krna no hp ilang gk bisa verivikasi ?? tau nya mudh bngt"
"Pratama Angga Buana","5","22/01/2022 13:48","Kurang bermanfaat memboroskan baterai hidupkan blutut tujuannya seperti pelacak"
"AM I","5","22/01/2022 13:47","Ok"
"senyumlah indonesiarayaku","2","22/01/2022 13:47","Pengimputan tanggal lahir susah."
"Nofrizal Zal","5","22/01/2022 13:44","Good"
"arif udin","1","22/01/2022 13:43","Bertele² input tanggal"
"Fitri Indriyani","5","22/01/2022 13:37","Bagus"
"Suharno harno","5","22/01/2022 13:35","Pertahankan"
"Andri Setiyawan","5","22/01/2022 13:34","Good"
"Rossydah Yusuf","5","22/01/2022 13:31","Aplikasi lumayan bagus??"
"L.M. HANAFIE","4","22/01/2022 13:29","Cukup bagus untuk mengetahui berita ttg covid 19"
"Yo Ndak tau Ko tanya saya","1","22/01/2022 13:28","tolol"
"Anderias Redu","5","22/01/2022 13:26","mempermudah perjalanam..mantap"
"Pengguna Google","5","22/01/2022 13:25","Ok"
"Dwi Untariyono","5","22/01/2022 13:24","Oke..fine"
"Nasrullah rulcarlos06","5","22/01/2022 13:21","Bagus"
"Arifa nirwana","5","22/01/2022 13:19","Jos"
"Bambang Hermanto","4","22/01/2022 13:19","Oke bisa jagokan"
"yasari idris","5","22/01/2022 13:16","Baik"
"Muhammad khairul Anam","5","22/01/2022 13:15","APK INI THE BASSS"
"Sisca Novi","5","22/01/2022 13:14","Amazing"
"firman 80","5","22/01/2022 13:12","Bagus bermanfaat lah"
"TEGAR ADI SURYA HAMDANI","5","22/01/2022 13:03","Gege guys"
"Andre Kurnia","1","22/01/2022 13:03","Aplikasi tidak bermutu...menyusahkan mau klaim sertifikat vaksin susahnya minta ampun...sudah 3hari mau klaim tpi tetap tdk bisa"
"Eko Putro","5","22/01/2022 13:01","Membantu"
"Amnah Baee","5","22/01/2022 12:59","Ok"
"Yoel Kwano","5","22/01/2022 12:58","Mantap"
"ANDIKA PURNAMA PURNAMA","5","22/01/2022 12:57","Bgus bngt dan cpet proses nya trimksh PDL"
"gopur yudi kustawan","5","22/01/2022 12:57","Aplikasi sangat membantu bg peserta vakcin tp hrs ada perbaikan bg peserta yg ikut numpang no hp."
"Mamen mancing","1","22/01/2022 12:57","Aplikasi rusak.."
"Saputra angga","5","22/01/2022 12:57","Keren ah"
"herry gunawan","1","22/01/2022 12:51","Bgus"
"Andri Putrizola","2","22/01/2022 12:51","Bintng 2 lah ,Sayang sudah vaksin pertama dan kedua tapi udah dicek gada tuh muncul sertifikatnya ,Saya sudah mengikuti yg tertulis dipetunjuk apk ini disuruh nunggu 1x24 jm ,tapi sudah 2 hari saya cek gada ,Kira gimana yh ???????"
"mastaman yuryanto","5","22/01/2022 12:49","Mantap"
"Hastika Mardina","5","22/01/2022 12:48","Good"
"Edu Edward","5","22/01/2022 12:46","Mantap"
"Yosi Ana","5","22/01/2022 12:46","bagus"
"ardi ramadani","5","22/01/2022 12:46","Mbois banget"
"Anggara Dre","5","22/01/2022 12:43","Excelent"
"sahat siman","5","22/01/2022 12:41","Bagus aplikasinya bisa Di akses se Indonesia dan bermanfaat, cuma kita ngga bisa buka certifikat istri atau saudara yg ngga ngerti aplikasi."
"Muhamad Saifullah Amin","5","22/01/2022 12:40","Admin tolong ditambahkan jenis vaksin Pfizer donk gara2 ga ada pilihan ini makanya sertivikatnya eror ga muncul2. Kalau ada yg jenis baru tolong diupdate juga biar ga eror. Kalau udah ditambahin saya ganti bintangnya"
"Slamet Widodo","5","22/01/2022 12:40","Aplikasi yg sangat bagus dan sangat membantu"
"Maryam 079","5","22/01/2022 12:34","Saya sangat suka"
"Nazwa Nazwa","5","22/01/2022 12:33","Peduli lindungi memang????"
"endang yulianti","5","22/01/2022 12:32","??"
"Nano Hartono","1","22/01/2022 12:32","Aplikasi rusak , baru' aja Bagus."
"Syarifa Adna","5","22/01/2022 12:31","Bagus dan mudah diakses"
"Supri Yadi","1","22/01/2022 12:31","Kita ikuti aja dlu yah"
"Zahwa Inayah","5","22/01/2022 12:30","??????"
"Ashafathu","5","22/01/2022 12:29","Sangat mudah digunakan, mungkin yang tidak bisa atau bermasalah bisa bersabar."
"Ricky Rumere","5","22/01/2022 12:29","Aplikasi Peduli lindungi sangat bermanfaat"
"Ira Purnama","5","22/01/2022 12:28","Ok banget"
"dlast indra","1","22/01/2022 12:21","Musingken di update teh."
"Fernandes Fernandes","2","22/01/2022 12:21","Bagus"
"Muhammad Sodik s","5","22/01/2022 12:20","Bagus......................................................................m......................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!...............................?..........??.........................................................apa liat liat kan bagus??????????????????????????????????????????????????????????"
"della setyo hadi 87","5","22/01/2022 12:20","Bagus bnget"
"Aceng Quick","5","22/01/2022 12:20","Sngt bahik"
"Lang 22","1","22/01/2022 12:16","Sering Gagal Scan check in di berbagai tempat Padahal kalau scan pakai aplikasi lain lancar2 aja"
"Panji Insani","4","22/01/2022 12:15","Ok lebih simpel"
"Nur Rita","5","22/01/2022 12:15","Vaksinasi emang mantap"
"Tri Lestari","1","22/01/2022 12:14","Sangat tidak memuaskan."
"Aci Wardani","1","22/01/2022 12:11","Gimana si saya daftar mau isi tgl lahir gak bisa bisa gagal terus padahal sudah vaksin 1 & 2 kenpa ini tolong di bantu"
"Rosma wati","1","22/01/2022 12:08","maaf , tolong apk bisa diperbaiki (lagi) karena kerabat saya sudah vaksin-2 , tapi sertifikat ke-2 nya dinyatakan belum ada , terimakasih ??"
"Kana Amam","5","22/01/2022 12:07","Good game"
"Naura Nabila","5","22/01/2022 12:06","Terima kasih peduli lindungi"
"Wijaya Gunawan","5","22/01/2022 12:05","WOW KALAU KLIAN PINTER APK INI MUDAH SYA UDH PUNYA SERTIFIKAT VAKSIN LHO??"
"Nurain Eli","5","22/01/2022 12:05","Bguss"
"Android Gordyn","5","22/01/2022 12:05","Bagus"
"Nur Akhmadi","4","22/01/2022 12:01","Cukup bermanfaat"
"roby.s robysuhandy","5","22/01/2022 12:01","Bagus??"
"Daman Daman","5","22/01/2022 12:00","Ok"
"Umu Hanifah","1","22/01/2022 11:59","Cara cari tanggal lahir coba dipermudah"
"Budi santoso","5","22/01/2022 11:59","Sangat membantu"
"melkianus damu patimara","2","22/01/2022 11:58","5m. y6 66 vii888 4. . ..."
"Putra Muba","2","22/01/2022 11:55","Kok saya mau download sertifikat di bilang anda belum punya sertifikat vaksin. Padahal gue udah vaksin yg kedua lo. Dan di sini udah terdaftar. Tapi belum punya sertifikat. Gimana sih pelayan nya. Aneh"
"Rifka Fauziah","5","22/01/2022 11:54","Ok"
"Stefanus M. Nekin","5","22/01/2022 11:53","Sangat menolong"
"Ray Andrean","1","22/01/2022 11:53","Bagus sekali"
"Satria Pratama","5","22/01/2022 11:52","Aplikasi nya bagus sekali untuk bergunaa!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!sekali"
"Feri Ardian","1","22/01/2022 11:50","Aplikasi eror . Mau nyari sertifikat vaksin ga bisa"
"Farid Kardiawan","5","22/01/2022 11:50","Good"
"adjie sleman","1","22/01/2022 11:50","Tiap hari kok update. Huftt!!!!!!!!!!!"
"Moh Khoirul Anwar","4","22/01/2022 11:48","Membatu sekali"
"Prisilia Mali","1","22/01/2022 11:41","Sulit benar ini aplikasi"
"Fitri Yana","5","22/01/2022 11:40","Coba dong ajarin sya gmna cara nya. Ni"
"Ahmad Murtadho","5","22/01/2022 11:35","Oke"
"safrudin aziz","1","22/01/2022 11:33","untuk.menuju.sehapedulindungi.harus.selalu.diterapkan,"
"Indah Tri","5","22/01/2022 11:33","Nice"
"Jagonya Film","5","22/01/2022 11:33","Sangat cocok bagi saya yang sering berpergian"
"Erna Takain","5","22/01/2022 11:27","Sangat membantu"
"Rahma Yanti","5","22/01/2022 11:27","Ok"
"Zayne","2","22/01/2022 11:26","Saya mau sign in malah gagal² terus captchanya padahal udah benar. Harus nunggu besok lagi ya cemana lah itu stress jadinya lama²"
"Andri Luviansyach","5","22/01/2022 11:24","Baik"
"Dresta Fais","1","22/01/2022 11:23","Apk engga jelas Vaksin pertama tahun 2021 blm kedaftar Sertifikat udh bikin lgi malah engga bisa² sampe sekarang. Ribet bngt"
"Asri Nurkholissofiah","1","22/01/2022 11:17","Kenapa ya aplikasi nya setiap mau log in keluar mulu"
"Nazar permana","2","22/01/2022 11:17","Kenapa y aplikasi ini pas aku mau daftarin susah malah g bisa gimna sh caranya ada yng tau g"
"Eko Sudiyono","5","22/01/2022 11:15","Bagus banget"
"Indra syahputra Lubis","4","22/01/2022 11:14","bagus dan sangat membantu"
"Faisal tukang paido","5","22/01/2022 11:11","Aplikasi kurang membantu tolong permudah cara kerja aplikasi ini karena Tak semua orang pandai teknologi"
"andar sihaloho","5","22/01/2022 11:09","Saya sangat senang menerima vaksin"
"Rini Siniawati","5","22/01/2022 11:09","Mntap"
"Kamal Ludin","5","22/01/2022 11:08","Mantapppp"
"Wahyu Yudhi","2","22/01/2022 11:07",")rnn :: v m?"
"Ahmad Taupik","5","22/01/2022 11:07","Mantap"
"nahum sib","5","22/01/2022 11:06","Sangat tertolong sekali."
"Awaluddin Kisaran","5","22/01/2022 11:04","Mantap"
"Fitroh Yulaga","5","22/01/2022 10:49","Aplikasi ini berguna sekali"
"jumari ashter","5","22/01/2022 10:47","Jos"
"RUH 118","1","22/01/2022 10:46","kenapa tetangga saya ga vaksin tiba tiba punya sertifikat? di malam tahun baru lagi vaksinya padahal dia lagi keluar kota.. apakah ada kebocoran data????......"
"Si juli Juli","5","22/01/2022 10:39","Ok apk nya"
"fitoy bilbil","1","22/01/2022 10:38","kren"
"Sunar To","5","22/01/2022 10:37","Cukup baik ??"
"info seputar jalan raya","1","22/01/2022 10:37","Tolong buat masukin tggl lahir dll jangan di suruh geser ke samping bikin lama udah aja isi sendiri kan bisa biar lebih cepat kalau dikelagiran Thun 60 an butuh berapa lama buat geser2 taggal ya paham ya maksud saya"
"satria pamungkas","5","22/01/2022 10:35","kosigkfktf8 le???????????????? ?????????????? ?????????????? ?????????????? ?????????????? ?????????????? ?????????????? ????????????"
"Suparjingat 02","5","22/01/2022 10:31","Mempermudah dalam pelayanan pasien."
"Monica Tokan","5","22/01/2022 10:31","Bagus"
"RIFQI Nauval","1","22/01/2022 10:29","Ini gimanasih aplikasinya mau buka pake nomer baru sulitttttt,kita yg g'bgtu paham jadi binggung harus ditingktkn lagi ni"
"alif abdillah","5","22/01/2022 10:24","Nice"
"dewata vinansius adam","5","22/01/2022 10:22","good"
"Al Rizqi","5","22/01/2022 10:21","Bagusss bagusss goooooddddd??????"
"Kartini Tini","5","22/01/2022 10:21","bagus jadi mau kemana2 jadi nyaman"
"Elltorro Ell","5","22/01/2022 10:21","Sangat membantu"
"Om Boy","5","22/01/2022 10:17","Applikasi ok, cuma dibenahi u pemasukan tanggal lahir biar bisa di input manual jng sampe cari2 dl di list tanggal, bulan dan tahun lahir"
"muhammad mufrodi","5","22/01/2022 10:17","Bagus..."
"Handi Rakito","2","22/01/2022 10:16","Sudah 2x vaksin tp tidak masuk sertifikatnya."
"Juju Junaedi","5","22/01/2022 10:12","Mantaap"
"Haroens Hardjojudanto","1","22/01/2022 10:10","Payah..."
"abdul waqi","5","22/01/2022 10:09","cukup baik"
"Zelicha Ichaa","5","22/01/2022 10:08","Joooss gandoss"
"N . Tarigan BreCaro","5","22/01/2022 10:05","???"
"Dwi Pebriyantri","1","22/01/2022 10:04","Tolong dong aplikasi diupdate. Orang lain bisa terdaftar di profile saya. Minta dihapus ga bisa. Status saya kuning padahal sudah vaksin 2x. Call center juga ga bisa kasih solusi. Payah"
"Ari Y91C","5","22/01/2022 10:04","Enak pake aplikasin ini"
"Rusli Amin","2","22/01/2022 10:04","Ok"
"Junaidi Junaidi","5","22/01/2022 10:01","Sangat membantu"
"Fariz Sheva","1","22/01/2022 10:01","Aneh, gak jelas"
"Arys Laia","1","22/01/2022 10:01","Sepertinya ini aplikasi untuk cari duit. Bukan membantu malah semakin mempersulit..."
"Glen Marsha Yuda","5","22/01/2022 09:58","Apk nya bagus banget!!!! ¡!!!!!!!!!!!!!!!!!!!!!!!!! ¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ;;;;;;;;;!!!!!!!!!!!!!!!! ¡!!!!!!!!!!!!!!!!!! ;;;;;;;;!!!!!!!!!!!!!!!!!!!!!!!! Ngapain liat kebawah kan udah kubilang bagus banget apk nya"
"hariswidodo tmx","5","22/01/2022 09:57","Ok"
"Novi Asih","4","22/01/2022 09:57","sangat membantu"
"Darmawansyah","1","22/01/2022 09:56","Apk payah bener mau cetak atau mau lihat sertifikat vaksin malah capta gagal, pada hal udah di isi dengan benar, bukannya lebih mudah malah di persulit, tolong donk min perbaiki captanya,, busettt dahh"
"Sumar Diani","5","22/01/2022 09:53","Ok"
"david arsenal","5","22/01/2022 09:53","Bagus"
"Wawat Rohmawati","5","22/01/2022 09:52","Sangat baik"
"Ahmad Lazada","1","22/01/2022 09:48","Gk bisa update vaksin kedua saya"
"Andri Mr","1","22/01/2022 09:42","payah masa captca salah terus , nub"
"Sudirman Darwis","5","22/01/2022 09:42","Harap aplikasinya di perbaiki agar mudah mencar tgl lahir.. Makasih...!!!"
"Ida Izam","5","22/01/2022 09:40","Bagus"
"Musrifah Azis","5","22/01/2022 09:36","Mudah diakses"
"eka eka saputra","5","22/01/2022 09:33","Okeeeeeee"
"Valentine Tri Redjeki","4","22/01/2022 09:33","Cepat membacanya, Tapi sayang nggak bisa baca semuanya"
"Sae Udin","5","22/01/2022 09:31","Bagus"
"Isti Nur adillah","5","22/01/2022 09:30","Good"
"Userj2 Pro","4","22/01/2022 09:27","Terintegrasi dengan baik."
"arianto gemstyle93","5","22/01/2022 09:26","untuk aplikasi nya mudah digunakan & dimengrti.??????"
"SANDRI San","5","22/01/2022 09:26","Biar bintang nya berbicara"
"karlim aj","5","22/01/2022 09:25","Ok"
"belajar online","5","22/01/2022 09:24","Membantu"
"dion pamungkas","1","22/01/2022 09:20","Tidak ada informasi history vaksin, kapan vaksin pertama, dan kapan vaksin kedua."
"Abidhar Hardiansyah Kaysan","5","22/01/2022 09:19","Mantap"
"Irwan Fahlevi","5","22/01/2022 09:19","Sangat pentin"
"Sutino Sarijaya","5","22/01/2022 09:07","Membantu sekali"
"Ahmad Fahrul","4","22/01/2022 09:06","H NN BB NN vrn BB b BBM BB b CCB FCC vun"
"Nikolas Saputra","1","22/01/2022 09:05","Aplikasinya susah banget buat update."
"Imas Karmila","1","22/01/2022 09:03","Unduh sertifikat kenapa dipersulit harus isi data ini itu ribet ah"
"Nayla syifa syafitri","5","22/01/2022 09:02","Bagus banget aplikasinya??"
"Saripudin P","5","22/01/2022 09:01","Good"
"Rio Pinuji","5","22/01/2022 08:55","Ok"
"bert kasman","1","22/01/2022 08:55","Terlalu rumit. Sulit untuk memasukan tanggal lahir dan tgl vaksin"
"Rosmina Oppo","5","22/01/2022 08:53","Bagus"
"Fata apriyani","5","22/01/2022 08:52","Bagus"
"Putra Siliwangi","1","22/01/2022 08:52","Ngapa begini sih sertifikat kudu d klaim dah lupa woy tgl brp vaksinnya juga"
"Liling Priyanto","1","22/01/2022 08:52","Aplikasinya ribet"
"Berlianto daud Immanuel","5","22/01/2022 08:49","Baik"
"erfan farid maada","5","22/01/2022 08:48","Mantap"
"Ahsa zhafran","1","22/01/2022 08:48","Widiana"
"nu putra","5","22/01/2022 08:47","Josss...."
"Ihran Rosyid","5","22/01/2022 08:47","Bagus saja ..gk ada masalah"
"Budiman H","5","22/01/2022 08:46","Sdh byk membantu..."
"Fandi Pandi","1","22/01/2022 08:45","Eror Mulu"
"Iwan Bonero84","5","22/01/2022 08:45","Mantap"
"Am Rizal","1","22/01/2022 08:45","Coba dulu"
"Delvy Maiyanti","5","22/01/2022 08:45","Ya sangat membantu nih??"
"Najwa Nabillah Azzarah","5","22/01/2022 08:42","Bagus dan sangat membantu"
"Reiner Reiner","5","22/01/2022 08:40","Mudah diikuti"
"Yanto Budiarto","5","22/01/2022 08:37","Aman d vaksin astra ga ada apah"""
"Norma Norma","5","22/01/2022 08:34","Baik"
"Mardiansyah 013","5","22/01/2022 08:34","Bagus"
"Topan Tri","5","22/01/2022 08:34","Good"
"Robi Siswadi","5","22/01/2022 08:33","Mantap dan bermanfaat"
"Wayan Nurdika","5","22/01/2022 08:31","Mantaap"
"Agus Hidayat","1","22/01/2022 08:30","Sangat sulit menentukan tanggal lahir yg notabene lahir thun 50an."
"arif firtana","5","22/01/2022 08:29","Bagus"
"Tetlh Tet","5","22/01/2022 08:26","Aplikasi nya bagus"
"Rusydi Rusydi","4","22/01/2022 08:24","Bagus sekali"
